"Title","Date","Start Time","End Time","Hall","Category","CFP","Speakers"
"Open Source is a Gift Economy","2025-09-21","11:15","11:40","Audi 1","Other","https://fossunited.org/c/indiafoss/2025/cfp/8f182j1glt","Chad Whitacre"
"DiscoveryBench: Data-Driven Scientific Discovery with LLM Agents","2025-09-21","16:00","16:25","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/7nc8dd2p24","Harshit Surana"
"Zasper: High Performance IDE for Jupyter Notebooks","2025-09-21","09:45","10:10","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/9j5mnv52a6","Prasun Anand"
"Build for Bharat Fellowship: Pull-Requesting Change in Government","2025-09-21","10:15","10:40","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/3qu0cmprim","Harsh Nisar"
"Building Hardware: Prototype to Production","2025-09-21","10:45","11:10","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/bcdedd2aiu","Shoaib Merchant"
"StoryWeaver: Building a Commons for Children’s Reading","2025-09-21","11:45","12:10","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/9t90elof3d","Purvi Shah, Suman Vijeta"
"Evolving the OCaml programming language","2025-09-21","15:30","15:55","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/8leh08nbn9","KC Sivaramakrishnan"
"Diffs Don’t Scale: Why We Need Better Code Review Interfaces","2025-09-21","16:30","16:45","Audi 1","Lightning Talk","https://fossunited.org/c/indiafoss/2025/cfp/ecmri5hqsi","Avikalp Kumar Gupta"
"FOSS for good: a non-tech talk on how we used FOSS (and FOSS philosophy) to build an open legal test prep platform","2025-09-21","16:45","17:00","Audi 1","Lightning Talk","https://fossunited.org/c/indiafoss/2025/cfp/d8c4tnh059","Anusha Reddy"
"Closing Note and Open Discussion","2025-09-21","17:00","18:00","Audi 1","Other","",""
"HUML (Human-oriented Markup Language)","2025-09-21","13:10","13:35","Audi 1","Other","https://fossunited.org/c/indiafoss/2025/cfp/arsnhack6n","Kailash Nadh"
"Lunch","2025-09-21","13:35","14:30","Audi 1","Break","",""
"Free/Libre AI","2025-09-21","14:30","15:20","Audi 1","Other","https://fossunited.org/c/indiafoss/2025/cfp/6u9h11f9us","Tarunima Prabhakar, Rakesh Dubbudu, Poruri Sai Rahul, Ashita Prasad"
"Registrations and Breakfast (food area)","2025-09-21","08:00","09:00","Audi 1","Break","",""
"Opening Note","2025-09-21","09:30","09:45","Audi 1","Opening Note","",""
"Libredesk - Open source self hosted customer support desk","2025-09-21","12:15","12:40","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/8t02554fp7","Abhinav Raut"
"How I Accidentally Built an OpenSource — Algo Trading Platform","2025-09-21","12:40","13:05","Audi 1","Talk","https://fossunited.org/c/indiafoss/2025/cfp/8lfk4l7mrf","Rajandran R"
