"Title","Date","Start Time","End Time","Hall","Category","CFP","Speakers"
"You don't have to be a wizard: A beginner's journey into kernel development","2025-09-21","10:00","10:25","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/26fcptqe35","Hridesh MG"
"Ente’s approach to building an E2EE video streaming system","2025-09-21","10:30","10:55","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/bs511kl4uh","Prateek Sunal"
"Introducing Wraft - A FOSS tool to automate and manage documents.","2025-09-21","11:00","11:25","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/2bhe5tlqm8","Muneef Hameed"
"Bootable Containers: Future of the Linux Desktop","2025-09-21","11:30","11:55","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/3lnendkm8e","James Reilly"
"The Geopolitics of Open-Source Generative AI: Freedom, Control and Power","2025-09-21","12:30","12:55","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/di78fad7j6","Bharath Reddy"
"Introducing Logchef: A Purpose-Built Log Explorer for ClickHouse","2025-09-21","12:00","12:25","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/7nl58v1n4c","Karan Sharma"
"Lunch","2025-09-21","13:00","14:00","Audi 2","Break","",""
"Sanchari-Kathegaara: Community Mesh Networks with Tribal Settlements in Karnataka","2025-09-21","14:00","14:25","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/f5r90g7g1k","Abhiram Jois"
"Proxmox: powered by Qemu, not quarterly revenue targets","2025-09-21","14:30","14:55","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/fk47g36g6t","Rohit Phatak"
"Mission Possible: How Visually Impaired Developers re-shape the deep tech world","2025-09-21","15:00","15:25","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/2mo5ba4h14","Palaniappan Nallalagappan, Arunkumar K"
"Flavours of Zig language","2025-09-21","15:30","15:55","Audi 2","Talk","https://fossunited.org/c/indiafoss/2025/cfp/emu6b0urvd","Akhil Teja G R"
"FLASH TALKS (5*10 mins)","2025-09-21","16:00","17:00","Audi 2","Other","",""
"Registrations and Breakfast (food area)","2025-09-21","08:00","09:00","Audi 2","Break","",""
"Opening Note (Audi 1)","2025-09-21","09:30","09:45","Audi 2","Opening Note","",""
